City,Department,Hospital_Name,Doctor_Name,Floor_Address
Nashik District,Gynecology,Nashik Civil Hospital,Dr. Pratibha Wagh,Maternity Block Ground Floor Room 3
Nashik District,Gynecology,Suyash Hospital,Dr. Vidya Jadhav,Main Building 1st Floor Gynecology Desk
Nashik District,Gynecology,Shree Saibaba Hospital,Dr. Ankita Gharge,OPD Complex 2nd Floor Room 205
Nashik District,Gynecology,Sahyadri Hospital Nashik,Dr. Varsha Patil,OPD Building Ground Floor Room 8
Nashik District,Gynecology,NMC Hospital Nashik,Dr. S. M. Kulkarni,Municipal Maternity Wing Ground Floor
Nashik District,Gynecology,Lifeline Hospital Nashik,Dr. Poonam Deore,Main Building Ground Floor Maternity Desk
Nagpur District,Cardiology,Wockhardt Super Speciality Hospital,Dr. Nitin Tiwari,Shankar Nagar Campus Cardiac Care Tower 3rd Floor
Nagpur District,Cardiology,Wockhardt Super Speciality Hospital,Dr. Amit S. Ballamwar,Shankar Nagar Campus Cardiac Care Tower 1st Floor
Nagpur District,Cardiology,Wockhardt Super Speciality Hospital,Dr. Dinesh B Padole,Shankar Nagar Campus Cardiac Care Tower 2nd Floor
Nagpur District,Cardiology,Ganga CARE Hospital Limited,Dr. Amey Beedkar,Main Building Ground Floor Cardiology Block
Nagpur District,Cardiology,Kingsway Hospitals,Dr. Pramod Mundra,Tower A 2nd Floor Cardiology Suite
Nagpur District,Cardiology,Alexis Hospital,Dr. Rishi Lohiya,Main Block Ground Floor Cardiac Center
Nagpur District,Cardiology,Government Medical College (GMCH),Dr. Mukund Deshpande,Ajni Campus Cardiac Unit Ground Floor
Nagpur District,Cardiology,Indira Gandhi Govt Medical College (IGMCH),Dr. S. K. Pasari,Central Avenue Super Speciality Block
Nagpur District,Cardiology,Arneja Heart Institute,Dr. Jaspal Arneja,Main Building 1st Floor Cardiac Desk
Nagpur District,Cardiology,Platina Heart Hospital,Dr. Pramod Mundra,OPD Complex Ground Floor Room 101
Nagpur District,General Medicine,Government Medical College & Hospital (GMCH),Dr. Vivek Raut,Ajni Campus Main OPD Block Ground Floor Room 5
Nagpur District,General Medicine,Government Medical College & Hospital (GMCH),Dr. Soubeer Ghosh,Ajni Campus Main OPD Block Ground Floor Room 6
Nagpur District,General Medicine,Government Medical College & Hospital (GMCH),Dr. Venkata Sai Nikhil,Ajni Campus Main OPD Block Ground Floor Room 7
Nagpur District,General Medicine,Government Medical College & Hospital (GMCH),Dr. Shashank S Gowda,Ajni Campus Main OPD Block Ground Floor Room 8
Nagpur District,General Medicine,Ganga CARE Hospital,Dr. Pratibha Walde,Main Building Ground Floor General Medicine Desk
Nagpur District,General Medicine,Wockhardt Super Speciality Hospital,Dr. Suresh Kubavat,Shankar Nagar Campus Ground Floor Desk B
Nagpur District,General Medicine,Wockhardt Super Speciality Hospital,Dr. Mohammad Iqbal Ahmad,Shankar Nagar Campus Ground Floor Desk C
Nagpur District,General Medicine,Wockhardt Super Speciality Hospital,Dr. Aesha Vinaykumar Bhatt,Shankar Nagar Campus Ground Floor Desk D
Nagpur District,General Medicine,Kingsway Hospitals,Dr. Sunanda Chaoji,Tower 1 Ground Floor General Counter
Nagpur District,General Medicine,Alexis Hospital,Dr. Vineet Mittal,OPD Complex Ground Floor Room 102
Nagpur District,Pulmonology,Indira Gandhi Govt Medical College (IGMCH),Dr. Neha Sharma,Central Avenue Campus Super Speciality Wing 2nd Floor
Nagpur District,Pulmonology,Ganga CARE Hospital,Dr. Diti V Gandhasiri,Main Building 2nd Floor Pulmonary Block
Nagpur District,Pulmonology,Wockhardt Super Speciality Hospital,Dr. Kanabur Prashanth,Shankar Nagar Campus 1st Floor Pulmonary Unit
Nagpur District,Pulmonology,Wockhardt Super Speciality Hospital,Dr. Saswat Subhankar,Shankar Nagar Campus 1st Floor Pulmonary Unit 2
Nagpur District,Pulmonology,Wockhardt Super Speciality Hospital,Dr. Ranjit Basha,Shankar Nagar Campus 2nd Floor Respiratory Block
Nagpur District,Pulmonology,Wockhardt Super Speciality Hospital,Dr. Vysakh Kumar,Shankar Nagar Campus 2nd Floor Respiratory Block 2
Nagpur District,Pulmonology,Wockhardt Super Speciality Hospital,Dr. Shilpa Jain,Shankar Nagar Campus 3rd Floor Chest Clinic
Nagpur District,Pulmonology,Wockhardt Super Speciality Hospital,Dr. Prem Prakash,Shankar Nagar Campus 3rd Floor Chest Clinic 2
Nagpur District,Pulmonology,Kingsway Hospitals,Dr. Rajendra Prasad,Tower B 2nd Floor Pulmonary Desk
Nagpur District,Pulmonology,Alexis Hospital,Dr. Sameer Arbat,Main Block Ground Floor Pulmonary Unit
Nagpur District,Gastroenterology,Kingsway Hospitals Nagpur,Dr. Amol Samarth,Tower 1 2nd Floor Liver & Digestive Diseases Clinic
Nagpur District,Gastroenterology,Wockhardt Super Speciality Hospital,Dr. Piyush Marudwar,Shankar Nagar Campus 1st Floor Digestive Care Unit
Nagpur District,Gastroenterology,Wockhardt Super Speciality Hospital,Dr. Jay J Chudasama,Shankar Nagar Campus 1st Floor Digestive Care Unit 2
Nagpur District,Gastroenterology,Wockhardt Super Speciality Hospital,Dr. Jagdish Kaswan,Shankar Nagar Campus 2nd Floor Gastro Block
Nagpur District,Gastroenterology,Ganga CARE Hospital,Dr. Shrikant Mukewar,Main Building Ground Floor Gastro Desk
Nagpur District,Gastroenterology,Government Medical College (GMCH),Dr. Sudhir Gupta,Ajni Campus Gastro OPD Ground Floor
Nagpur District,Gastroenterology,Alexis Hospital,Dr. Sanjay Rajput,OPD Complex 2nd Floor Gastro Suite
Nagpur District,Gastroenterology,Arneja Hospital,Dr. Nitin Kimmatkar,Main Block Ground Floor Gastro Counter
Nagpur District,Gastroenterology,Platina Hospital,Dr. Amol Samarth,OPD Wing 1st Floor Room 105
Nagpur District,Gastroenterology,Seven Star Hospital,Dr. Prashant Rahate,Main Campus Ground Floor Desk A
Nagpur District,Urology,Arneja Institute of Medical Sciences,Dr. Shailesh Arneja,Main Multi-Specialty Wing 1st Floor Urology OPD
Nagpur District,Urology,Wockhardt Super Speciality Hospital,Dr. Rishabh Garg,Shankar Nagar Campus 2nd Floor Urology Counter
Nagpur District,Urology,Ganga CARE Hospital,Dr. Dhananjay Selukar,Main Building 1st Floor Urology Desk
Nagpur District,Urology,Kingsway Hospitals,Dr. Jitendra Hazare,Tower B 1st Floor Urology Clinic
Nagpur District,Urology,Alexis Hospital,Dr. Sanjay Kolte,Main Block Ground Floor Urology Counter
Nagpur District,Urology,Government Medical College (GMCH),Dr. Kunal Meshram,Ajni Campus Urology Ward Ground Floor
Nagpur District,Urology,Seven Star Hospital,Dr. Sadashiv Bhole,Main Campus 1st Floor Urology Desk
Nagpur District,Urology,Medanta Clinic Nagpur,Dr. Rajesh Tiwari,OPD Center Ground Floor Counter 4
Nagpur District,Urology,Nagpur Civil Hospital,Dr. S. K. Nayak,Government OPD Wing Ground Floor Room 9
Nagpur District,Urology,Care Hospital Ramdaspeth,Dr. Gaurav Mishra,Main Building Ground Floor Urology Unit
